Open,Volume
27.92,7146296
28.26,5457354
28.0,8665592
28.23,7022056
27.765,8899188
27.805,18195730
27.18,11760912
27.3,12472506
26.535,13896450
26.85,11487316
27.2,12333954
26.715,10607724
26.625,12056302
27.325,10394356
27.315,8451764
27.385,10193852
28.0,12931844
28.38,14925144
28.55,18237018
29.335,14215718
29.2,9897766
29.225,11670100
29.165,7435340
29.26,14723066
28.68,15102742
28.53,10521204
28.255,13337034
28.61,9620874
28.65,8307328
28.65,8720670
28.765,10580234
28.495,6128410
28.43,7456828
28.465,7620390
28.565,7009632
28.595,13495550
29.2,11272606
28.805,7568480
28.605,8993596
28.915,7343972
28.98,8361158
28.82,8577388
28.975,10416656
29.355,10418310
29.33,10700276
28.97,8849328
29.015,7207368
29.18,8776706
28.79,8605504
29.21,5547302
29.42,11323422
29.845,10410890
30.0,16550532
29.65,14970972
30.175,7400546
30.315,8041092
30.275,6294596
30.22,6237460
30.425,9835550
31.0,6997134
31.265,7495628
31.17,5507696
31.33,8276152
31.285,7480820
31.6,5906892
31.46,7510580
31.6592,9654546
32.0,6661036
31.885,6934282
32.015,7211790
32.02,6588946
32.075,11012050
31.845,8258348
31.54,6507242
32.105,7438516
31.895,7560250
31.935,8798456
31.605,10205308
31.63,11417578
31.305,8622564
31.52,8408538
31.175,8625308
31.705,13752898
32.83,12412340
32.735,7897496
32.91,10069920
32.27,11909482
32.975,9854434
33.095,8115800
33.0,7451352
33.51,10644698
32.91,11606540
32.855,14709502
32.0,9913028
32.265,9856852
32.685,9545442
33.135,6292594
32.755,10836506
33.045,6692040
33.12,6765528
33.215,5635188
33.935,5189244
33.97,8029920
34.45,7459914
33.935,8090792
34.34,8385798
34.62,9706492
34.845,6180564
34.82,6068146
34.87,12147310
34.225,8537754
34.285,7196954
34.54,6559682
34.62,8465332
34.06,14033776
33.47,15971984
36.3,32293248
36.375,12801986
36.45,9808846
36.07,11248506
36.135,12849582
36.75,9394576
37.11,7606188
36.83,7956060
36.18,7068922
36.385,5923772
36.295,5366324
36.14,5473182
36.545,5377794
36.29,4932052
35.655,7198878
35.49,6929830
35.29,6349108
35.18,6046820
35.21,6917088
35.54,5399676
36.0325,5869740
36.035,4928868
35.45,8021076
35.045,6249812
35.365,5509920
35.69,5666988
35.85,7249600
35.71,6502234
36.125,4931220
36.185,6356670
35.84,4936828
36.49,11779224
37.165,9982644
37.75,7628560
37.795,5767336
38.285,8787132
37.63,6661016
37.94,9488762
38.76,8042062
38.13,9620500
38.055,6783882
37.765,7633976
38.42,7261490
38.32,4988814
38.455,6200278
38.25,8828424
38.49,5205160
38.295,6088422
38.48,8164122
38.4,5226696
38.3,5106784
38.555,12663250
37.695,9482078
38.145,6638096
38.61,5530376
38.7675,5986662
38.915,8146874
38.6,10103938
38.835,6562580
39.635,9049968
39.555,6770290
39.95,8419570
40.225,7908094
39.68,13508366
39.735,7251840
40.1,11242732
39.605,7898436
40.315,17518716
39.345,20491552
40.77,12005206
40.375,8285184
40.18,10092844
41.195,8562294
40.65,13283288
39.755,11487736
40.6,5146208
40.38,6613072
39.62,12519058
40.765,7647688
40.625,6445400
40.51,8322628
40.005,8725944
40.065,8734150
39.9,13139094
40.85,7926170
40.685,9001126
40.43,8767864
40.695,4752000
40.925,4387144
40.745,5773800
40.37,7893264
40.195,10206454
39.78,6569194
40.2975,6736632
40.13,7936162
39.495,26329504
38.8,15751996
38.14,9651038
38.415,8052582
38.015,9348824
38.29,7008900
38.065,10268256
39.12,11406282
38.76,12707400
38.985,7624552
39.05,3896612
39.365,4391338
39.645,4506128
39.395,4734486
39.215,6016240
39.035,8528022
38.74,6545626
38.45,10604900
38.325,8180398
38.64,10190576
39.035,8370276
38.78,6475950
38.69,14730286
37.56,18668208
37.77,8721564
37.91,9110924
37.5,13007820
37.525,18777272
36.975,13989730
36.74,30451212
37.365,33218428
37.615,18212030
37.285,11103896
36.75,16002076
36.14,15181598
35.445,12287056
35.5,20353852
35.0,21066236
35.045,10968328
35.33,13819714
36.805,14752770
37.155,12948390
37.435,16165852
37.245,9973052
36.78,8477256
37.175,8266438
37.495,10967746
36.92,9802100
36.7,8553032
36.89,11298258
36.33,11953270
36.25,18641246
35.4,19156536
35.81,11298448
35.77,22465506
35.005,12248352
35.715,12255104
35.995,9783410
35.915,13781048
36.495,8409372
36.625,8648776
36.995,18368750
37.275,10450862
37.92,11380782
37.045,8962602
37.405,11019894
37.175,5997520
37.5,24983140
38.145,13851476
39.105,18036904
38.45,10018724
38.22,10568158
37.465,8371118
36.535,12675658
36.645,6582750
36.95,7721754
36.82,8741780
37.175,8275518
36.93,7165454
36.775,11708546
35.6,11089724
35.32,10679090
35.815,9055586
36.37,13375470
34.895,16368844
34.815,12176480
34.98,15461760
34.825,11278644
35.285,9245966
35.155,6098442
35.265,8862690
35.73,8881548
35.76,15577016
36.0,18122130
35.945,10733556
35.59,9830164
35.31,7283078
35.375,7919194
35.625,8306490
35.25,5486598
35.365,10926786
34.89,10961996
34.8,7531344
34.85,6623136
35.32,7227204
35.485,5802916
35.59,8586022
35.13,9124686
35.0,9294826
35.28,6757810
35.38,8699878
35.355,6089286
35.175,7359636
36.145,7166310
36.32,10100398
36.65,8212030
36.76,6448878
36.58,6879534
36.61,5926156
36.86,6768354
37.06,6495704
37.18,5188766
37.53,6204706
37.69,5701018
37.625,6640912
37.07,7510866
37.345,7193748
36.935,7728298
37.24,6759676
37.515,5778600
37.6,5786570
38.275,12555078
38.815,12446594
38.345,4780230
38.45,10912302
38.52,7813834
39.005,6983266
38.98,8669268
39.05,9610248
38.945,8073888
39.19,4794618
39.195,6662616
39.39,7443924
39.32,7802080
39.27,7783444
39.305,4720762
39.48,4254768
39.49,4562120
39.325,8369728
39.53,8734258
39.06,8446350
38.85,6744520
38.93,5021858
39.165,6457244
39.255,6450280
39.795,16129286
39.2,18984366
39.4,8012924
39.245,7937248
39.5,8911708
39.26,8147584
38.75,7798186
38.63,6282674
38.585,6696400
38.25,5935218
38.665,5427964
38.315,5957988
38.835,4522400
38.935,4723844
39.05,6935144
38.74,10892582
38.61,8090044
38.595,6845416
38.9,4919030
39.005,4668758
38.905,4811992
38.62,4552328
38.82,5698322
39.005,5513856
38.955,4904018
38.895,3958032
39.035,4657356
38.85,6197468
38.78,6796736
38.4,5749790
38.505,8026608
38.88,4492776
38.725,5114572
38.505,5918672
38.49,9365624
37.915,14619348
37.63,10845708
37.42,8041214
37.67,7475730
37.795,8028914
37.985,12040726
38.025,7859646
37.145,7739386
37.265,8599714
37.59,8010814
37.0,7659794
37.275,6376526
37.78,7800904
37.84,8119064
37.205,8573520
37.4,8229168
38.01,5221748
37.45,6383432
37.12,6716308
37.52,9343828
37.13,10495940
37.105,12431414
36.205,10995022
36.015,13622008
35.59,9738832
36.675,9581060
36.805,7957028
37.5,12312930
37.24,6469670
37.575,6837730
37.45,7359034
38.005,5796276
38.17,8150988
38.55,8794902
38.09,13388970
37.625,35889908
37.985,10606936
37.805,10420764
38.505,7403396
38.485,6167276
38.82,8248994
38.82,6555370
38.915,5201438
38.705,5312194
39.095,6842248
39.04,6039282
38.97,5899020
38.815,5755816
38.72,5231186
38.83,6287096
39.565,14027718
39.95,9426200
40.28,8118386
40.06,6196752
40.215,6766674
40.5,8627478
40.345,7656398
40.21,11201396
40.3,14070910
41.25,14788168
42.1,11770652
41.535,8725620
41.45,10096320
41.45,10058296
41.37,9164230
41.135,16286986
40.245,13981874
39.565,10161624
40.775,17582942
40.1,17444212
39.925,7583856
40.75,8147722
40.735,2602398
40.715,4550364
40.83,4796662
41.035,5253454
41.095,7628772
41.065,6906098
40.07,11623796
40.17,7664340
39.875,9732554
41.165,13170548
40.495,27556706
40.145,10021486
40.74,11040702
40.025,9295084
40.3,8126602
39.63,9015502
40.4,10738304
40.525,10844182
40.68,23913056
43.25,38107194
44.045,14098574
43.89,10995808
44.35,11963202
44.005,12475860
44.29,10070456
43.84,13638832
43.99,9252426
44.0,11496698
44.355,7598672
44.75,7835332
44.255,6911614
44.685,12469500
45.58,6466910
45.545,7197558
45.995,6109522
45.885,6386900
46.195,6541986
46.575,6109176
46.73,6462662
46.925,5854572
46.63,6337888
46.65,8120660
47.15,6816352
47.395,8658404
46.665,7947018
47.05,7578374
46.905,7774534
46.64,5848750
46.65,6814414
46.195,5984880
46.08,6076984
46.06,8185894
45.985,7295344
46.34,5835252
47.0,6772606
46.88,5508796
47.0,15429928
48.38,22020618
49.245,17360612
48.94,7985986
48.555,7718488
49.07,9907170
47.675,10344304
47.5,7993350
48.02,6830270
47.835,8717754
47.14,14125350
46.71,8863018
46.925,6058894
47.205,5354670
46.92,6827888
47.65,7109621
48.6,6643106
48.56,8171030
48.52,5952424
48.81,5162169
48.23,5312499
47.9,7539865
47.9,4868425
48.35,6213360
48.5,7248119
48.55,15866051
51.32,22284881
51.81,11222608
50.6,8882901
50.42,7161992
50.63,8492048
49.95,5916509
50.3,7493420
49.94,10691207
49.68,8033489
48.74,5681417
49.99,6039840
49.71,5047180
49.15,5868552
49.85,4927094
49.98,7339742
50.79,6016694
50.65,8999761
51.48,6976052
51.31,5644662
50.94,5084042
51.33,5857672
51.38,7369923
51.04,6213573
51.84,5874382
51.95,9399112
51.96,7075082
51.98,7877799
52.0,5522702
51.87,6230805
51.57,7123248
52.0,6320181
51.35,5034038
51.8,8003611
52.81,6030167
52.41,5236747
52.23,5554964
52.27,6106529
53.09,6735294
53.5,10712142
54.08,10609714
54.325,7100665
54.04,5679984
53.75,5524969
54.09,5389863
54.46,6637183
53.87,6534077
54.15,9793969
53.86,6107698
54.03,5684667
53.64,5396439
54.29,9462256
53.86,8139303
54.07,7681013
54.54,8087800
55.0,7477170
55.96,7028025
55.92,8212573
56.06,7305520
55.9,8715431
55.73,8029646
56.38,6717452
56.43,6876059
56.98,12439229
59.12,14559687
57.21,8993523
57.39,8689215
57.38,8470512
57.3,7337948
58.44,6519528
58.62,7664002
58.25,9113083
59.15,7349063
59.13,11064470
57.33,7781995
57.29,12029150
55.79,8062553
55.69,10075571
56.52,6731474
56.95,4803903
57.0,5768362
57.96,5575441
57.58,6044193
57.0,7470885
54.72,20211503
48.05,27158813
52.96,19659002
52.99,15517591
54.74,15987923
55.84,7584826
55.23,7971204
52.82,13424932
54.47,9891071
55.72,7968868
53.87,6994267
55.31,8051710
55.9,8406656
54.34,8924778
55.19,8363110
56.54,5464463
56.43,6741341
56.83,6593362
57.32,7525349
56.49,16268035
57.2,6220131
56.85,8585093
57.16,6829205
57.38,10027330
58.92,10627026
58.01,11548114
55.85,9392065
56.4,9799610
56.99,8497124
56.99,9036765
58.49,8198998
58.82,5642949
58.62,8138313
58.78,6834836
59.47,7969884
60.35,6430301
60.34,6262774
60.0,8365604
58.95,9745919
59.96,12860812
60.13,8117213
61.22,6089097
61.07,6063923
60.96,9182031
62.11,8205994
62.98,9751716
63.37,8973243
63.11,9627260
63.42,14839093
63.69,16822302
63.01,8547237
62.0,8847718
63.0355,9085091
62.17,6144979
62.05,6616305
61.75,6838326
61.54,6689040
62.55,4437315
61.34,6793779
60.89,8821593
59.5,8096603
60.95,6695251
60.66,7215255
61.8,5154366
61.96,8302476
